date,tracks_rolling_2m,tweets_2m_rolling_mean_monthly
2013-05-01,38.58199409318812,
2013-06-01,29.489810278776723,
2013-07-01,28.62791643025733,
2013-08-01,30.899471322670784,
2013-09-01,26.33146372767857,
2013-10-01,34.11971440408551,
2013-11-01,43.22434712357955,41.18333333333334
2013-12-01,38.413872233351135,48.44206666666666
2014-01-01,39.310007501039486,47.51573333333333
2014-02-01,44.515812563640466,49.12117777777779
2014-03-01,49.25436863089246,51.284177777777785
2014-04-01,45.30871134474771,
2014-05-01,38.35763796672025,50.427844444444446
2014-06-01,30.85998895765693,56.47217777777778
2014-07-01,24.082759628918307,
2014-08-01,35.52606592412637,
2014-09-01,42.735868264784344,
2014-10-01,45.49340345196258,53.858177777777776
2014-11-01,37.06597716085108,52.455844444444445
2014-12-01,27.277498421407593,
2015-01-01,21.236831833964647,
2015-02-01,29.18882725694444,52.26643111111112
2015-03-01,38.14132526525394,51.799844444444446
2015-04-01,36.62654810215474,49.04077777777778
2015-05-01,31.202555178828508,
2015-06-01,31.79628047121316,
2015-07-01,34.30844197367284,
2015-08-01,26.010280841067654,
2015-09-01,22.95715799742431,
2015-10-01,16.82446909102183,51.33683333333333
2015-11-01,26.95898435905455,
2015-12-01,32.999650946497496,53.78
2016-01-01,29.355354533299625,56.66435555555555
2016-02-01,35.83554688893436,50.18135376984127
2016-03-01,36.34269111681266,40.553751429588935
2016-04-01,38.12722551324033,41.23937264957265
2016-05-01,31.129862430527183,41.25801505901506
2016-06-01,26.04951406742852,48.66802020202021
2016-07-01,32.82462342416267,41.73376719576719
2016-08-01,38.03042848676364,43.58023875661376
2016-09-01,44.14876261642513,44.76611375661376
2016-10-01,50.70450582208004,
2016-11-01,61.62012091019179,
2016-12-01,45.95040807418306,
2017-01-01,27.348193607322383,
2017-02-01,29.43121968541097,
2017-03-01,36.85538567778818,
2017-04-01,44.80738110076797,
2017-05-01,43.224347123579555,
2017-06-01,42.340538092411784,
2017-07-01,31.29256196957628,
2017-08-01,26.049514067428525,
2017-09-01,37.53006320218337,
2017-10-01,42.1421429723997,
2017-11-01,42.1421429723997,
2017-12-01,42.610411565282035,
2018-01-01,42.44771202623294,
2018-02-01,28.63673832070707,
2018-03-01,23.81769437876752,
2018-04-01,34.201048406551145,44.200504003684806
2018-05-01,41.013352697991955,32.19795018738977
2018-06-01,38.63587609327207,44.02918500992064
2018-07-01,44.476400115799585,42.92176851851852
2018-08-01,42.61940945840704,34.97404725829726
2018-09-01,42.73762050935807,33.06636796267103
2018-10-01,40.268356009188295,36.71232927619766
2018-11-01,42.82377055864629,36.90878974358974
2018-12-01,37.991510996630616,35.79071756187856
2019-01-01,35.43609644717262,30.103756566289466
2019-02-01,47.096143716124665,
2019-03-01,47.992278983813016,
2019-04-01,48.24161938377113,
2019-05-01,50.399579465457,
2019-06-01,30.591487317905266,
2019-07-01,19.695005539490484,
2019-08-01,28.135107887295145,
2019-09-01,28.135107887295145,
2019-10-01,39.75243808700034,33.24645154679629
2019-11-01,45.364981618151006,40.30551948051948
2019-12-01,34.358890845796985,38.74663852813853
2020-01-01,36.58873374368688,34.18833333333333
2020-02-01,36.58873374368688,30.155833333333334
2020-03-01,33.43374689230355,27.527333333333335
2020-04-01,38.23075546390001,
2020-05-01,55.81011183654736,
2020-06-01,42.33303407256647,26.90332142857143
2020-07-01,34.60246860242844,29.19044632073844
2020-08-01,38.157993313308914,30.57620652616305
2020-09-01,39.601825269027806,50.46679946780273
2020-10-01,33.85366548611951,40.39400255381193
2020-11-01,26.553712242618506,28.074510878010877
2020-12-01,33.6293282900335,
2021-01-01,35.45446677969777,
2021-02-01,23.061970323628938,
2021-03-01,15.611500360072576,
2021-04-01,30.311360090316004,
2021-05-01,43.88868698718789,
2021-06-01,35.43609644717263,
2021-07-01,33.28155800867909,
2021-08-01,38.476644874633955,
2021-09-01,27.86014394820814,
2021-10-01,29.53984690385743,
2021-11-01,40.50777761146818,
2021-12-01,30.373262343435457,
2022-01-01,32.44302293484536,
2022-02-01,31.230054203896096,
2022-03-01,14.77617952614332,
2022-04-01,22.764257613826736,
2022-05-01,33.67125523988881,
2022-06-01,31.30850862609748,
2022-07-01,24.224375577764263,
2022-08-01,25.88868599474757,28.96317327117327
2022-09-01,39.34724482497198,
2022-10-01,46.72913049527026,30.794435897435896
2022-11-01,44.98288765148968,38.2786396011396
2022-12-01,49.611037191480264,38.693798860398864
